2024-11-21 10:11:59 - root - INFO - 123
2024-11-21 10:12:22 - root - INFO - 123
2024-11-21 10:13:12 - root - WARNING - This is a warning message
2024-11-21 10:14:45 - root - ERROR - This is an error message
2024-11-21 10:14:51 - root - CRITICAL - This is a critical message
2024-11-21 10:18:51 - INFO - 123
2024-11-21 11:08:59 - INFO - Kivy application started
2024-11-21 11:09:02 - INFO - Button was clicked!
2024-11-21 11:09:03 - INFO - Button was clicked!
2024-11-21 11:09:04 - INFO - Button was clicked!
2024-11-21 11:09:04 - INFO - Button was clicked!
2024-11-21 11:09:04 - INFO - Button was clicked!
2024-11-21 11:09:05 - INFO - Button was clicked!
2024-11-21 11:09:08 - INFO - Button was clicked!
2024-11-21 11:09:09 - INFO - Button was clicked!
2024-11-21 11:09:10 - INFO - Button was clicked!
2024-11-21 11:09:10 - INFO - Button was clicked!
2024-11-21 11:09:11 - INFO - Button was clicked!
2024-11-21 11:09:11 - INFO - Button was clicked!
2024-11-21 11:09:11 - INFO - Button was clicked!
2024-11-21 11:09:12 - INFO - Button was clicked!
2024-11-21 11:09:17 - INFO - Button was clicked!
2024-11-21 11:09:18 - INFO - Button was clicked!
2024-11-21 11:09:18 - INFO - Button was clicked!
2024-11-21 11:09:18 - INFO - Button was clicked!
2024-11-21 11:53:16 - ERROR - e
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\42M31S_1732189351.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\43M31S_1732189411.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\44M31S_1732189471.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\45M37S_1732189537.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\46M37S_1732189597.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\47M37S_1732189657.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\48M38S_1732189718.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\49M37S_1732189777.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\50M37S_1732189837.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\51M37S_1732189897.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\52M37S_1732189957.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\53M37S_1732190017.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\54M37S_1732190077.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\55M37S_1732190137.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112120\00M46S_1732190446.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112120\06M42S_1732190802.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112120\25M00S_1732191900.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112120\25M58S_1732191958.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112120\26M58S_1732192018.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112120\27M58S_1732192078.mp4, Status: Valid
2024-11-21 21:03:53 - INFO - Processed 20241121, saved to H:data\94f827b4b94e\20241121.mkv, set timestamps, and deleted original files.
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112100\20M41S_1732119641.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112100\29M49S_1732120189.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112100\32M32S_1732120352.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112100\33M29S_1732120409.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112100\41M27S_1732120887.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112100\42M35S_1732120955.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112100\48M48S_1732121328.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112100\52M37S_1732121557.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112100\53M44S_1732121624.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112100\55M11S_1732121711.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112101\13M43S_1732122823.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112101\30M04S_1732123804.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112101\37M39S_1732124259.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112101\40M26S_1732124426.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112101\44M06S_1732124646.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112101\45M05S_1732124705.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112101\46M31S_1732124791.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112101\47M58S_1732124878.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112101\49M06S_1732124946.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112101\50M45S_1732125045.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112102\10M46S_1732126246.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112102\11M54S_1732126314.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112102\17M13S_1732126633.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112102\22M50S_1732126970.mp4, Status: Valid
2024-11-21 21:33:12 - INFO - Checking file: H:data\94f827b4b94e\2024112102\24M33S_1732127073.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112102\26M54S_1732127214.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112102\27M51S_1732127271.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112102\28M54S_1732127334.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112102\31M26S_1732127486.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112102\35M21S_1732127721.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112102\39M49S_1732127989.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112102\41M34S_1732128094.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112102\44M04S_1732128244.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112102\50M47S_1732128647.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112102\55M14S_1732128914.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112102\57M42S_1732129062.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112103\01M41S_1732129301.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112103\02M39S_1732129359.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112103\05M34S_1732129534.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112103\09M46S_1732129786.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112103\11M38S_1732129898.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112103\16M49S_1732130209.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112103\18M46S_1732130326.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112103\22M22S_1732130542.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112104\15M58S_1732133758.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112104\17M39S_1732133859.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112104\18M37S_1732133917.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112104\22M21S_1732134141.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112104\23M33S_1732134213.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112104\26M45S_1732134405.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112104\31M28S_1732134688.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112104\37M57S_1732135077.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112104\41M12S_1732135272.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112104\42M34S_1732135354.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112104\45M04S_1732135504.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112104\46M39S_1732135599.mp4, Status: Valid
2024-11-21 21:33:13 - INFO - Checking file: H:data\94f827b4b94e\2024112104\47M46S_1732135666.mp4, Status: Valid
2024-11-21 21:33:17 - INFO - Processed 20241120, saved to H:data\94f827b4b94e\20241120.mkv, set timestamps, and deleted original files.
2024-11-21 21:33:17 - INFO - Skipping today's date: 20241121
